0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.881499999999999773e+02,1.705744874392373751e-03,6.298365208053000686e+01,2.244709337475270794e-01
2.881579152793768230e+02,4.000000000000000222e-01,6.339808478260600566e+01,2.245257599409695437e-01
4.167625329983827669e+02,4.000000000000000222e-01,6.047234741531464124e+02,1.776598174073157566e+00
4.167625329983827669e+02,4.000000000000000222e-01,2.738056622931281254e+03,6.895417726120207647e+00
6.811412376576548695e+02,4.000000000000000222e-01,3.290567885728487454e+03,7.924788221003928435e+00
2.881499999999999773e+02,0.000000000000000000e+00,2.281825565980331248e+03,7.924784328626895302e+00
4.168090794769212266e+02,8.000000000000000444e-01,6.051781785697038458e+02,1.776649333850957024e+00
4.435635108136001463e+02,8.000000000000000444e-01,7.210178484197533635e+02,2.045989153905454661e+00
4.435635108136001463e+02,8.000000000000000444e-01,2.768302464663743194e+03,6.661542379916015832e+00
7.933008982793866153e+02,8.000000000000000444e-01,3.524820063663387373e+03,7.924784295310435489e+00
4.184064324641510666e+02,1.650000000000000000e+01,6.221015499900504437e+02,1.776600037910850416e+00
6.230061528612804977e+02,1.650000000000000000e+01,1.669683619793419211e+03,3.776477591359558517e+00
6.230061528612804977e+02,1.650000000000000000e+01,2.564566038855778515e+03,5.212863670174977315e+00
8.381499999999999773e+02,1.650000000000000000e+01,3.475868852376323957e+03,6.513807252613100118e+00
4.435635108136001463e+02,8.000000000000000444e-01,2.768302464663743194e+03,6.661542379916015832e+00
