Temperature [C],Pressure [bar],Specific Entropy [kJ/kgK]
8,1,3.825214433757661
456.81566028902705,20.1,3.944555840331538
1433.3018723037135,20.1,4.930418148143573
598.2372612698736,1,5.001832448816396
